Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Hardware / Systems,Hardware Engineer – Consumer Electronics Device,India,Work on hardware design for Xiaomi’s consumer devices.,"Electrical/Mechanical CAD, product design",11,15,13,Xiaomi
Hardware / Systems,Mechanical Engineer – UAV Manufacturing,India,Design and manufacture UAV components and systems.,"Mechanical engineering, CAD, manufacturing process",9,18,13.5,IdeaForge Technologies
Hardware / Systems,Mechanical Design Engineer – Security Equipment,India,Design mechanical components for security/detection systems at Smiths Detection.,"Mechanical CAD, Systems design",9,22,15.5,Smiths Detection
Hardware / Systems,International Communications Field Technician,Remote – India,Work on satellite/communications hardware setups in international locations. (Viasat Careers),"Hardware troubleshooting, Comms Systems",8,18,13,Viasat
Healthcare / IT,Software Engineer – Health IT,Remote/India,Develop software for hospital & healthcare systems.,"Java, Spring Boot, SQL",12,20,16,Cerner Corporation
HR / Change Management,People & Culture Specialist,India,Support HR and change management initiatives in EY’s global teams.,"HR operations, Communication, Agile mindset",8,14,11,EY
HR / Operations,Talent Acquisition Coordinator,India,Support hiring and recruitment operations within Naukri.com.,"Recruitment basics, communication",5,9,7,Naukri.com
HR / People,People Business Partner,Bengaluru,"Partner with engineering and business teams to recruit, retain and develop talent.","HR operations, communication, stakeholder management",6,12,9,CRED
HR / Recruitment,Talent Acquisition Junior Analyst,Bengaluru,Help recruit and onboard new staff for the bank’s operations.,"Communication, sourcing, ATS tools",6,10,8,Deutsche Bank
HR / Tech,HRIS Analyst,"Pune, India",Manage HR systems and help automate HR processes.,"Excel, HR Tools (Workday/Oracle), Python (basic)",8,12,10,ADP
HR Tech / Operations,HR Solutions Consultant,India,Work with clients to deploy HR tech solutions and manage change.,"HR knowledge, Communication, Software understanding",12,20,16,Bounce / PeopleStrong
Human Capital / HR,Associate – Talent & Organizational Consulting,India,Help clients with organisational change and talent strategy.,"Communication, consulting mindset, analytics",12,20,16,Bain & Company
Human Resources / Ops,HR Business Partner,Pune / Noida,Partner with business teams on HR issues and employee management.,"HR Operations, Communication, Stakeholder Management",9,15,12,UKG
Human Resources / Talent Acquisition,Talent Acquisition Advisor,India (Fixed Term Contract),Help recruit and onboard new employees for Dynatrace’s expansion in India. (Dynatrace Careers),"Recruiting, Sourcing, Interviewing, Contract HR",8,14,11,Dynatrace
Infrastructure / DevOps,DevOps Engineer – Trading Systems,India / Remote,Maintain and deploy trading-system infrastructure at Citadel.,"Linux, automation, monitoring, low-latency systems",17,26,21.5,Citadel
Infrastructure / DevOps,DevOps/SRE Engineer – Platform Services,India / Remote,Maintain and scale Meta’s global infrastructure/operations.,"Linux, Kubernetes, Monitoring tools",17,25,21,Meta Platforms
Infrastructure / DevOps,Site Reliability Engineer – Trading Systems,India (Gurgaon),"Ensure reliability, scalability & monitoring of Tower Research’s systems.","Linux, Cloud/Containers, Monitoring, performance tuning",17,25,21,Tower Research Capital
Inside Sales,Inside Sales Associate,Remote / India,"Support sales by engaging prospects, demoing product and converting leads. (Frappe)","Communication, CRM tools, Basic Web product knowledge",6,10,8,Frappe
Integration / Web Dev,Full-Stack Engineer – Integration Platform,India / Remote,Build integration tools for Celigo’s SaaS connectivity platform.,"JavaScript/Node.js, APIs, DBs",11,19,15,Celigo
Internship / Entry,Engineer Intern – Aerospace,India,Entry-level role supporting aerospace engineering tasks at Skyroot.,"Basic engineering skills, Eagerness to learn",5,9,7,Skyroot Aerospace
Internship / Entry,Engineering Intern – Aerospace Systems,India,Support engineering teams in spacecraft/rocket development.,"Basic engineering skills, eagerness to learn",5,9,7,Brahmastra Space
Internship / Graduate,Intern – Embedded Software / Production Planning,India,Entry-level role supporting embedded software or planning at Skyroot.,"Basic coding, eagerness to learn, engineering fundamentals",5,9,7,Skyroot Aerospace
IT / Infrastructure,Systems Administrator – Banking Suite,India,Manage infrastructure and operations for Fiserv’s banking software environment.,"Windows/Linux, Networking, Monitoring",8,12,10,Fiserv
IT / Infrastructure,IT Support Engineer,India,Provide technical support for internal systems and customer platforms.,"Troubleshooting, Networking, Communication",6,14,10,eBay Inc.
Legal / Compliance,Legal Associate,Hyderabad,"Manage contracts, IP, and compliance for space missions","Legal Drafting, IP Law, Space Policy",12,18,15,Dhruva Space
Life Sciences / R&D,Research Scientist – Molecular Diagnostics,India,Conduct research and development for MolBio Diagnostics’ molecular test offerings.,"Molecular biology, Lab techniques",11,18,14.5,MolBio Diagnostics
Logistics,Assistant Manager – Warehouse,Mumbai / India,Coordinate warehouse and rapid delivery operations for the platform. (Indeed),"Logistics, Excel, Coordination",6,11,8.5,Grofers
Logistics / Operations,Warehouse Executive,Delhi NCR,"Manage orders, inventory, and delivery for Blinkit’s warehouse.","Excel, Inventory Tools",4,8,6,Blinkit
Logistics / Supply Chain,Sr. Manager – Supply (FTL & PTL),India,Lead sourcing and management of full truck load and part truck load operations across India.,"Supply chain, Vendor management, Logistics strategy",15,25,20,Shiprocket
Machine Learning,ML Engineer,Remote (India),Train and deploy AI models for NLP and chatbots.,"Python, PyTorch, Transformers, NLP",30,50,40,Hugging Face
Machine Learning / AI,Machine Learning Engineer – Research Tech,India / Remote,Build ML/AI models and research systems for advanced AI products.,"Python, ML frameworks, Data pipelines",15,30,22.5,OpenAI
Manufacturing / Engineering,Manufacturing Process Engineer – Industry 4.0,India,Improve manufacturing processes using digital/automation tools.,"Lean/Six Sigma, Automation, Engineering fundamentals",9,7,8,Bosch India
Manufacturing / Engineering,Production Technician,"Daman, India",Operate/manufacture in production line for DuPont’s manufacturing plant. (Indeed),"Technical manufacturing skills, machine operation, safety",4,15,9.5,DuPont
Manufacturing / Ops,Manufacturing Engineer – Memory Device Production,India,Work on production & yield improvement at Micron’s device manufacturing.,"Engineering, Production process, Quality control",9,15,12,Micron Technology
Manufacturing / Production,Manufacturing Engineer – Rocket Propulsion,India,Manage manufacturing of propulsion systems and test components.,"Manufacturing process, Mechanical engineering",12,18,15,Brahmastra Space
Manufacturing / Quality,Quality Engineer – Aerospace Components,Hyderabad/India,Ensure quality standards for aerospace manufacturing at Skyroot.,"Quality control, NDT, Mechanical/Manufacturing",9,15,12,Skyroot Aerospace
Manufacturing / Quality,Industrial Quality Engineer,India,Ensure manufacturing quality for rail and transport equipment at Alstom. (Indeed),"Quality control, manufacturing processes, attention to detail",8,14,11,Alstom
Manufacturing / Quality,Quality Engineer – Medical Devices,India,Ensure quality and compliance for manufactured medical devices.,"Quality control, regulatory understanding",8,14,11,Philips
Manufacturing / Tech,Software Engineer – Product Tech,India / US,Build software for print-and-ecommerce manufacturing products.,"Java/C#, APIs, Databases",14,24,19,Cimpress (cimpress.com)
Manufacturing / Welding / Tech,Field Service Technician – Glass Equipment,India,Service and maintain automated glass-processing equipment.,"Mechanical/electrical skills, Troubleshooting",5,9,7,ClearGlass (clearglass.com)
Marketing,Growth Marketing Specialist,Remote,Work on user acquisition and digital campaigns.,"SEO, Google Analytics",12,13,12.5,Bitly
Marketing,Growth Marketer,Remote,Run marketing campaigns for the education sector.,"SEO, SEM, Analytics",10,12,11,Accredible
Marketing,Digital Marketing Specialist,India,Manage digital campaigns to attract car buyers and sellers.,"SEO, Google Ads, Analytics",8,14,11,CarDekho
Marketing,Digital Marketing Analyst,Remote,Run online campaigns and track engagement metrics.,"Google Ads, SEO, Analytics",8,20,14,Better.com
Marketing,Brand Marketing Executive,Gurugram,Promote BharatPe’s brand and run ad campaigns.,"Social Media, SEO, Analytics",8,10,9,BharatPe
Marketing,Campaign Executive,Gurgaon,Manage promotional campaigns on the Blinkit app.,"Excel, Communication, Digital Marketing",6,16,11,Blinkit
Marketing / Ad Ops,Ad-ops Manager,Bengaluru,"Manage ad campaigns, ad operations and optimise monetisation for the app.","Excel, advertising platforms, analytics",8,14,11,Dailyhunt
Marketing / Brand,Brand Manager – Consumer Goods,India,Manage brand campaigns for Amway’s products.,"Marketing fundamentals, analytics, communication",11,18,14.5,Amway
Marketing / Brand Growth,Digital Brand Manager,India,Grow Nike’s brand presence in India via digital campaigns and social media.,"Marketing, Analytics, Creative thinking",11,18,14.5,Nike
Marketing / Brand Growth,Growth Marketing Specialist – Platform Growth,India,Run growth campaigns and drive user acquisition for the social/short-video app.,"Marketing, Analytics, Digital channels",9,15,12,ShareChat
Marketing / Campaigns,Marketing Manager – Travel Growth,India,Lead marketing campaigns for travel segments and user targeting.,"Digital Marketing, Analytics, Strategy",10,18,14,MakeMyTrip
Marketing / Community,Community & Growth Specialist,Remote,Build and nurture community around Ghost’s open-source software.,"Community management, Marketing, Writing",10,16,13,Ghost
Marketing / Community,Growth Marketing Specialist – EdTech,India / Remote,Run campaigns to drive learner acquisition & engagement for Multiverse.,"Marketing, Analytics, Digital Channels",8,14,11,Multiverse
Marketing / Content,Content & Community Specialist,Remote,Build community and content for talent development platform.,"Writing, Social media, Community engagement",6,10,8,Chronus
Marketing / Digital,Digital Marketing Specialist,India,Manage digital campaigns for Sendinblue’s email & SMS marketing platform.,"SEO/SEM, Analytics, Marketing Strategy",8,14,11,Sendinblue
Marketing / Digital,Digital Marketing Manager – Social Platforms,India / Remote,Manage digital campaigns and community engagement for Khoros products.,"Social Media, Analytics, Marketing strategy",10,16,13,Khoros
Marketing / Digital Growth,Performance Marketing Manager,India,Plan and run online ads and campaigns for Priceline’s travel platform.,"Google Ads, Analytics, Excel",10,18,14,Priceline
Marketing / Growth,Growth Marketing Manager,India,Lead campaigns to grow LinkedIn’s user base and engagement in India.,"SEO/SEM, Analytics, Marketing Strategy",14,24,19,LinkedIn
Marketing / Growth,Growth Marketing Manager – India Content,India,Drive growth for Netflix’s India content and user base.,"Digital Marketing, Analytics, Content strategy",12,15,13.5,Netflix
Marketing / Growth,Growth Manager – Mobile Marketplace,India,Lead growth strategies for Meesho’s app and user acquisition.,"Marketing, Analytics, A/B Testing",10,18,14,Meesho
Marketing / Growth,Growth Marketing Manager,India,Run campaigns and user acquisition for the e-commerce brand.,"Google Ads, Analytics, Marketing strategy",10,15,12.5,Zivame
Marketing / Growth,Digital Marketing Manager,India / Remote,Manage digital growth campaigns for GoPro in India/EMEA region. (estimate),"SEO/SEM, Analytics, Campaigns",10,10,10,GoPro
Marketing / Growth,Growth Marketing Specialist – Ad Tech,India,Run campaigns to increase ad revenue and user engagement.,"Analytics, SEM/SEO, Digital Marketing",9,16,12.5,Media.net
Marketing / Growth,Growth Marketing Specialist,India,Run campaigns and growth strategies for Droom’s user base.,"Digital Marketing, Analytics, Campaigns",9,18,13.5,Droom
Marketing / Growth,Growth Marketing Specialist,India,Run campaigns to grow Jupiter’s user base and engagement.,"Analytics, Digital Marketing, Communication",9,16,12.5,Jupiter Financial
Marketing / Growth,Growth Hacker – User Acquisition,India,Run growth campaigns to drive Upstox user base growth.,"Analytics, Digital Marketing, Funnel optimization",9,16,12.5,Upstox
Marketing / Growth,Growth Marketing Specialist,India,Run campaigns to acquire learners & grow Unacademy’s user base.,"Digital Marketing, Analytics, Communication",9,20,14.5,Unacademy
Marketing / Growth,Growth Marketing Manager – Digital Loans,India,Drive user acquisition and growth for BankBazaar’s digital loan products.,"Digital marketing, analytics, communication",9,10,9.5,BankBazaar
Marketing / Growth,Growth Marketing Manager – Developer Platform,India / Remote,Run growth & acquisition campaigns for DigitalOcean’s developer community.,"Marketing, Analytics, Community growth",9,15,12,DigitalOcean
Marketing / Growth,Growth Marketing Specialist – Digital Cards,India,Run growth campaigns for OneCard’s fintech product.,"Digital marketing, analytics",9,16,12.5,ONE (OneCard)
Marketing / Growth,Growth Marketing Manager – Wellness & Fitness,India,Run user-acquisition and engagement campaigns for cult.fit’s platforms.,"Digital marketing, Analytics, Communication",8,14,11,cult.fit
Marketing / Growth,Content & Community Specialist,Remote,Build content & grow community for Chronus’s platform users.,"Writing, Social Media, Community-building",6,15,10.5,Chronus
Marketing / Growth,Digital Marketing Executive – Agency,India,Run digital marketing campaigns and content for clients of the agency.,"SEO/SEM, Analytics, Content creation",6,15,10.5,Obvious.in
Marketing / Product,Product Marketing Manager,"Gurgaon, India","Drive marketing for Shiprocket’s products, support growth and positioning.","Marketing strategy, Analytics, Communication",11,18,14.5,Shiprocket
Marketing / SEO,Digital Marketing Executive,Remote / India,Manage SEO/SEM campaigns for Booking.com listings.,"SEO, Google Ads, Analytics",7,12,9.5,Booking.com
Mechanical / Manufacturing,Mechanical Engineer – Heavy-machinery/Construction,India,Work on design/manufacturing for Liebherr’s heavy-equipment business.,"Mechanical design, CAD, Manufacturing process",9,15,12,Liebherr
Mechanical / Systems,Mechanical Engineer – Vehicle Components,India,Design mechanical components and systems for Continental’s vehicle technologies.,"Mechanical design, CAD tools, Automotive knowledge",11,18,14.5,Continental AG
Mechanical / Systems,Mechanical Engineer – Power Systems,India,Work on mechanical design of power generation equipment.,"Mechanical design, CAD tools",11,18,14.5,GE India
Media / Advertising,Campaign Manager – Media Ratings,India,Manage media rating & measurement campaigns at BARC India.,"Marketing, analytics, communication",8,14,11,BARC India
Media / Content,Content & Videography Specialist,India,Create creative content/videos for GoPro brand and campaigns. (LinkedIn),"Video editing, Photography, Storytelling",8,14,11,GoPro
Media / Data,Software Engineer – News Platforms,India or US Remote,Build news-platform software & real-time data systems.,"Python, JavaScript, cloud",15,25,20,Bloomberg
Media / Digital,Digital Marketing Specialist – Media,India,Run and optimise digital campaigns for media company’s content platforms.,"Google Ads, SEO, Analytics",10,16,13,"Discovery, Inc. (India)"
Mobile / Ads Tech,Mobile Engineer – Ad/Mobile Platform,India,Build features for InMobi’s mobile/ads-platform.,"Kotlin/Swift or React Native, APIs, ad-tech awareness",11,19,15,InMobi
Mobile Dev,React Native Developer,India,Develop mobile applications across iOS/Android using React Native. (estimate),"React Native, JavaScript/TypeScript",8,15,11.5,GeekyAnts
Mobile Development,Android Engineer,Bengaluru,Build high-performance Android apps for Gojek users.,"Kotlin, Jetpack, APIs",15,25,20,Gojek
Network / Cybersecurity,Systems Engineer – Network Infrastructure,"Bengaluru, India",Build and maintain network infrastructure and security for Cloudflare’s global network.,"Networking (TCP/IP), Linux, Cloud systems",14,22,18,Cloudflare
Network / Security,Network Security Engineer,India,Protect large-scale web & content delivery networks from threats.,"Networking, Security, Linux",14,22,18,Akamai Technologies
Network / Security,Network Engineer – Application Delivery,India (Hyderabad/Bengaluru),"Design and maintain network/security infrastructure for F5’s application-delivery platform. (F5, Inc.)","Networking (TCP/IP), security protocols, firewalls",14,22,18,F5
Network / Telecom,Software Engineer – Packet/Network Systems,Bengaluru / India,Develop software for IP Infusion’s network/telecom systems.,"C/C++, Networking, APIs",12,10,11,IP Infusion
Network / Telecom,Network Specialist – SD-WAN Services,India / Remote,Work on Aryaka Networks’ SD-WAN & connectivity solutions.,"Networking, SD-WAN, VPN, Cloud",12,16,14,Aryaka Networks
Network / Telecom,Network Engineer – RAN / Core Networks,India,Design and operate Nokia’s radio-access and core-network infrastructure.,"Networking, 4G/5G Knowledge, Protocols",11,20,15.5,Nokia
Network / Telecom,Network Engineer,Mumbai / India,Maintain and troubleshoot network infrastructure for Jio’s telecom services.,"Networking (TCP/IP), Routers, Communication Skills",9,20,14.5,Jio
Network / Telecom,Shift Engineer – Network,"Haryana, India",Monitor and maintain telecom network infrastructure round-the-clock.,"Network operations, SDH/OTN/DWDM, troubleshooting",6,18,12,Bharti Airtel
Networking / Hardware,Wireless Edge Network Engineer,India / Remote,Work on wireless WAN hardware and systems for enterprise customers. (estimate),"4G/5G Wireless knowledge, Networking, Troubleshooting",12,20,16,Cradlepoint
Open-Source / Software,Full-Stack Developer – Platform,Remote (Worldwide),Develop Ghost’s open-source publishing platform as part of the core team. (careers.ghost.org),"Node.js, React, Git, Open-Source contribution",15,25,20,Ghost
Operations,Business Analyst,Bengaluru,Study business metrics to improve internal processes.,"Excel, SQL, Communication",10,10,10,Gojek
Operations,Business Associate,Mumbai,Coordinate between merchants and operations teams.,"Excel, Communication, Coordination",7,8,7.5,BharatPe
Operations,Logistics/Operations Coordinator,India,Coordinate deliveries & pick-ups for vehicle marketplace.,"Excel, coordination, process focus",6,12,9,CarDekho
Operations,Loan Operations Officer,Bengaluru,Manage loan approval process and coordinate with partners.,"Finance, MS Office",5,15,10,Avail Finance
Operations / Ad Ops,Ad Operations Specialist,India,"Manage ad campaigns, inventory and deliver advertiser partner needs.","Excel, Ad Systems, Communication",7,12,9.5,Media.net
Operations / Customer Service,Operations Associate – Fitness Centres,India,Manage operations of fitness centres and user experience for cult.fit’s offline/online.,"Communication, process, customer service",5,10,7.5,cult.fit
Operations / Customer Support,Customer Service Lead,India,"Lead a team handling customer issues, ensure service quality and process improvements.","Leadership, Communication, CRM tools",8,14,11,Jio
Operations / Data Entry,Data Operations Coordinator,India,Manage data workflows and ensure quality of large data sets.,"Excel, Attention to Detail, Basic SQL",5,9,7,IHS Markit
Operations / Delivery,Associate – Client Delivery Services,India,Deliver client outcomes and support consulting engagements at McKinsey.,"Process understanding, Communication",8,10,9,McKinsey & Company
Operations / Delivery,Operations Analyst – New Associate,India,Work in business/operations roles supporting client delivery and services. (indiacampus.accenture.com),"Excel, Communication, Process awareness",5,14,9.5,Accenture
Operations / Engineering,Manufacturing Engineer – Process Improvement,India,Work in Koch’s manufacturing sites to improve processes and quality.,"Lean/Six Sigma, Engineering, Communication",9,15,12,Koch Industries
Operations / Field,Operations Manager – Delivery Fleet,India,Manage fleet operations and performance for Dunzo’s delivery business.,"Operations management, Analytics, Leadership",9,8,8.5,Dunzo
Operations / Field,Fleet Operations Coordinator,India,Coordinate fleet/truck operations for logistics platform.,"Excel, logistics, communication",7,12,9.5,BlackBuck
Operations / Field,Field Service Engineer – Drone Deployment,India,Support on-site UAV deployment and field operations.,"Troubleshooting, hardware knowledge, operations",7,15,11,IdeaForge Technologies
Operations / Field,Field Service Engineer – Drone Launch,India,Support drone deployments and field operations for Garuda Aerospace.,"Troubleshooting, on-site operations, communication",6,11,8.5,Garuda Aerospace
Operations / Field,Store Supervisor – Q-Commerce,Mumbai / India,Supervise ultra-fast delivery store operations and team. (Indeed),"Team coordination, Inventory management, Communication",4,12,8,Grofers
Operations / Finance,Loan Operations Coordinator – Student Loans,India,Support loan processing and operations for Leap Finance’s offerings.,"Attention to detail, Excel, Process understanding",7,12,9.5,Leap Finance
Operations / Implementation,Associate – Implementation Practice,India,Help implement client solutions & process improvements post-strategy.,"Excel, process knowledge, communication",11,18,14.5,Bain & Company
Operations / Logistics,Logistics Operations Manager – SEA,India,Oversee operations and logistics for cross-border e-commerce shipping.,"Logistics, Partner management, Excel",12,13,12.5,Shopee
Operations / Logistics,Operations Manager – Warehouse/Logistics,India,Manage large-scale logistics/warehouse operations for Flipkart. (Jobhai),"Operations management, leadership, analytics",10,10,10,Flipkart
Operations / Logistics,Operations Manager – Mobility Services,India,"Manage operations for Ola’s driver fleet, logistics and service network.","Ops management, Analytics, Communication",9,12,10.5,Ola Cabs
Operations / Logistics,Fleet Operations Manager – EV/Micromobility,India,Manage fleet operations for Yulu Bikes in India.,"Operations, analytics, logistics understanding",9,20,14.5,Yulu Bikes
Operations / Logistics,Category Operations Manager,India,"Manage operations for vehicle categories, ensure platform performance.","Excel, Logistics, Coordination",8,11,9.5,Droom
Operations / Logistics,Supply Chain Planner,India,Plan and optimise supply chain for fresh produce from farm to marketplace.,"Excel, Analytical thinking, Logistics knowledge",8,14,11,Ninjacart
Operations / Logistics,Supply Chain Analyst – Automotive,India,Analyse and optimise supply-chain for large automotive operations.,"Excel, Analytics, Domain understanding",8,14,11,Bosch India
Operations / Logistics,Operations Analyst – Fleet & Partner Management,UAE / India,Analyse operations and partner data to improve fleet performance.,"Excel, SQL, analytics",8,14,11,Careem
Operations / Logistics,Global Operations Associate – Freight,Mumbai / India,Coordinate air/ocean freight operations for Flexport. (Flexport),"Coordination, supply-chain knowledge, Excel",8,14,11,Flexport
Operations / Logistics,Category Operations Specialist,India,Handle operational tasks for different categories listed on OLX.,"Excel, Coordination, Process knowledge",7,11,9,OLX Group
Operations / Logistics,Logistics Coordinator – Fleet Operations,India,Coordinate fleet operations and logistics for Rivigo’s transport/tech business.,"Excel, Communication, Logistics knowledge",7,14,10.5,Rivigo
Operations / Logistics,Delivery Operations Coordinator,India,Coordinate delivery operations for Zomato’s fleet.,"Logistics, communication, data tracking",7,18,12.5,Zomato
Operations / Logistics,Supply Chain Coordinator,India,Support warehousing & logistics for fashion fulfilment.,"Excel, Logistics, Coordination",6,15,10.5,Zivame
Operations / Logistics,Supply Chain Coordinator,India,Support logistics and supply chain for Furlenco’s operations. (Uplers),"Excel, Coordination, Logistics Basics",6,12,9,Furlenco
Operations / Logistics,Operations Coordinator – Marketplace Logistics,India,Support day-to-day supply chain and logistics operations for DealShare.,"Coordination, Excel, Logistics awareness",6,15,10.5,DealShare
Operations / Logistics,Supply Chain Analyst,India,Optimize supply chain operations for Jumbotail’s marketplace.,"Excel, Logistics, Data Analysis",8,13,10.5,Jumbotail
Operations / Management,Operations Manager – Hotel Tech & Services,India,Manage tech operations for Treebo’s hotels & platform services.,"Ops management, Tech understanding, Communication",9,15,12,Treebo Hotels
Operations / Maps,Maps Specialist,Hyderabad,Work on mapping & location infrastructure for delivery service.,"GIS tools, Data, Problem solving",8,14,11,DoorDash (Indeed)
Operations / Moderation,Content Operations / Trust & Safety Associate,India,"Review and moderate content, keep platform safe and following rules at ShareChat.","Communication, Basic analytics, Problem-solving",6,10,8,ShareChat Technology Pvt. Ltd.
Operations / Process,Operations Analyst – Early Careers,Chennai / Bengaluru,"Support business processes, automate workflows, start career at Fidelity. (Fidelity Careers)","Excel, Automation, Business Understanding",7,13,10,Fidelity Investments
Operations / Project,Project Manager – Mapping Tech Integration,Mumbai / India,Manage projects integrating mapping/location systems for clients.,"Project management, Communication, Tech understanding",9,14,11.5,HERE Technologies
Operations / QA,Internal Operations Engineer,Remote / India,"Automate business processes, improve efficiency across teams. (Frappe)","Scripting, Automation, Problem solving",7,12,9.5,Frappe
Operations / Sales,Sales Specialist – Google Cloud,India,Sell Google Cloud services to enterprise customers in India.,"Sales, Cloud knowledge, Communication",18,28,23,Google
Operations / Service,Banking Operations Executive,India,"Handle banking operations, branch or digital service tasks for customers.","Communication, Process awareness, Basic IT",6,10,8,Axis Bank
Operations / Service dev,Field Service Engineer – Mobility Platform,India,Provide on-ground support and service for mobility/parking services.,"Troubleshooting, Communication, Basic IT",6,11,8.5,ParkPlus
Operations / Supply Chain,Operations Manager – Marketplace,India,"Oversee operations, logistics, and fulfilment tasks for an e-commerce site.","Excel, Coordination, Data analysis",9,10,9.5,Myntra (Indeed)
Operations / Supply Chain,Assistant Manager – Supply Chain,India,Support the procurement and warehouse operations for Tata 1mg’s distribution.,"Excel, logistics knowledge, coordination",9,12,10.5,Tata 1mg
Operations / Supply Chain,Operations Specialist – Mobility Fleet Operations,India,Support Uber’s fleet operations and service logistics in India.,"Analytics, operations knowledge, communication",9,15,12,Uber Technologies
Operations / Supply Chain,Supply Chain Analyst / Coordinator,India,Support supply chain & logistics for Lenskart’s retail/online business.,"Excel, logistics knowledge, coordination",7,15,11,Lenskart
Operations / Supply Chain,Supply Chain Executive – eCommerce,India,Coordinate logistics and delivery for Meesho’s sellers and customers.,"Excel, Logistics, Coordination",6,14,10,Meesho
Operations / Support,Operations Specialist,"New Delhi, India",Support operational workflows and deliver services for Viasat India hub. (Viasat Careers),"Ops Management, Coordination, Communication",10,12,11,Viasat
Operations / Support,Client Success Manager,India,Ensure clients use Gartner’s service well and stay satisfied. (Glassdoor),"Communication, Stakeholder Management",10,16,13,Gartner
Operations / Support,Workplace Experience Specialist (Office Manager),Bengaluru / India,Ensure good workplace experience for employees at Dynatrace office in India. (Dynatrace Careers),"Office management, Communication, Employee experience",6,8,7,Dynatrace
Operations / Support,Customer Service Specialist – Travel,India,Handle customer support & service operations for Expedia users.,"Communication, CRM, Problem solving",6,10,8,Expedia Group
Operations / Support,Field Executive – Panel Operations,India,Manage panel homes/devices and field operations for measurement services.,"Field work, sets up equipment, communication",6,8,7,BARC India
Operations / Support,IT Service Desk Engineer – Tech Support,India,Provide technical support to Fujitsu’s clients/operations.,"Troubleshooting, communication, ITSM basics",6,16,11,Fujitsu
Operations / Support,Campaign Operations Specialist,India,Support digital-marketing campaign execution and client deliverables.,"Excel, coordination, marketing basics",6,9,7.5,Reprise Digital
Operations / Support,Claims Operations Associate – Insurance,India,Manage claims operations for GoDigit’s insurance platform.,"Communication, process knowledge",6,10,8,GoDigit
Operations / Support,Operations Coordinator – Banking Services,India,"Support banking operations, process customer requests and transactions.","Excel, Communication, Banking knowledge",5,11,8,NatWest Group
Operations / Support,Loan Operations Associate – FinTech,India,Handle day-to-day lending operations for Fincover.,"Communication, Excel, process flow understanding",5,9,7,Fincover
Operations / Support,Customer Service Representative,India,"Provide assistance to customers, handle queries and ensure service satisfaction.","Communication, CRM, Basic IT Skills",4,10,7,Dell Technologies
Operations / Support,Back-Office Operations Executive,"Mumbai, India","Handle documentation, trade settlements, and data entry.","Excel, Communication, Attention to Detail",5,10,7.5,JM Financial
Operations / Support,Transaction Processing Associate,Chennai,Handle transactions and reporting for global clients.,"Excel, Accuracy, Banking Knowledge",6,10,8,Citi
Operations / Tech Support,Technical Support Engineer – Consumer Services,India,Provide support for IAC’s consumer/tech services.,"Communication, troubleshooting, basic technical skills",6,10,8,IAC
Partner / Biz Dev,Partner Manager,Remote / India,Manage partner relationships and drive revenue growth via channel partners. (Frappe),"Sales, Relationship building, Knowledge of product",10,18,14,Frappe
Partnerships / Business Dev,Partnerships Manager,"Bengaluru, India","Manage and grow partnerships (banks, brands) for FamPay’s product.","Sales, Communication, FinTech domain",14,,14,FamPay
Performance / Quality Engineering,Performance Test Engineer,"Bengaluru, India","Test application performance, load, reliability for Dynatrace tools. (Indeed)","Load testing, Performance engineering tools, JMeter",10,18,14,Dynatrace
Process / Back-Office,Senior Executive – Shared Services,India,"Support business operations, handle processes for clients of EXL. (Indeed)","Process knowledge, Communication, Excel",4,,4,EXL Service
Process / Operations,Process Associate – Shared Services,India,Execute business-process tasks for Genpact’s clients.,"Excel, communication, process understanding",4,8,6,Genpact
Process / Quality,Process / Quality Manager – CX Ops,Bengaluru / India,Improve CX process quality and track performance metrics.,"Process improvement, metrics, communication",10,16,13,[24]7.ai
Procurement / Supply Chain,Procurement Analyst,"Hyderabad, Telangana","Support procurement operations, supplier management for DuPont. (Indeed)","Supplier management, Excel, Procurement process",6,12,9,DuPont
Producer / Management,Associate Producer – Mobile Game Production,India,Assist production of mobile game titles at Ubisoft India. (Ubisoft),"Production tools, coordination, scheduling",8,14,11,Ubisoft
Product / Customer Success,Associate – Product Adoption,Chennai,"Help customers adopt the product, guide usage, gather feedback.","Communication, Customer Success, Product knowledge",6,12,9,Chargebee (Indeed)
Product / Dev,Product Manager – AI/ML Products,India / Remote,Define features and roadmap for enterprise AI/ML products at Quantiphi.,"Product strategy, Analytics, ML domain knowledge",18,26,22,Quantiphi
Product / Development,Product Manager – Trading Systems,India / Remote,Define product features for trading/execution systems at Citadel Securities.,"Product strategy, analytics, trading domain knowledge",19,28,23.5,Citadel Securities
Product / Fintech,Product Manager – Digital Insurance,India,Define product features and roadmap for a fintech/insurtech platform.,"Product strategy, Analytics, Domain knowledge",14,22,18,Acko
Product / Growth,Product Manager – Data/Cloud Platform,India,Define roadmap for Rubrik’s data-protection/cloud-platform offerings.,"Product strategy, Analytics, Cloud domain",28,22,25,Rubrik
Product / Growth,Product Manager – Crypto Platform,India / Remote,Define product features for Coinbase’s crypto platform and user-wallet experiences.,"Product strategy, Analytics, Crypto domain",22,20,21,Coinbase
